date,windspeed_10,windspeed_30,windspeed_50,hd_10,hd_30,hd_50,temperature,pressure,humidity,Target,season
2019-09-01 00:00:00,4.94,6.502,8.064,109.078,112.022,6.087,29.038,881.556,9.788,130.60834,Autumn
2019-09-01 00:15:00,5.177,6.945,7.683,108.997,113.581,6.105,29.32,881.578,9.365,108.19658,Autumn
2019-09-01 00:30:00,6.312,8.053,8.976,121.862,124.696,6.082,29.815,881.624,8.92,93.69147,Autumn
2019-09-01 00:45:00,5.377,6.798,7.645,117.452,119.25,6.074,29.849,881.765,8.876,84.25605,Autumn
2019-09-01 01:00:00,5.818,7.292,7.972,117.64,120.472,6.063,29.855,881.75,8.851,80.95469,Autumn
2019-09-01 01:15:00,5.204,6.523,6.971,117.089,119.927,6.109,29.632,881.858,8.929,86.12827,Autumn
2019-09-01 01:30:00,5.6,6.839,7.868,115.071,117.95,6.142,29.552,881.894,8.94,102.22385,Autumn
2019-09-01 01:45:00,6.312,7.736,8.66,129.578,130.349,6.097,29.532,881.828,9.054,127.76169,Autumn
2019-09-01 02:00:00,7.536,8.874,10.186,128.033,128.362,6.092,29.415,881.738,9.283,134.69547,Autumn
2019-09-01 02:15:00,5.573,6.681,7.499,120.849,125.764,6.074,29.072,881.805,9.507,122.93656,Autumn
2019-09-01 02:30:00,5.81,6.681,7.05,112.794,115.782,6.123,29.149,881.808,9.768,104.008446,Autumn
2019-09-01 02:45:00,8.546,9.776,11.087,121.108,121.46,5.993,28.909,881.677,10.082,118.26263,Autumn
2019-09-01 03:00:00,8.028,9.757,11.315,111.761,115.225,5.926,28.652,881.62,10.657,120.378586,Autumn
2019-09-01 03:15:00,8.628,10.404,11.36,113.756,113.497,5.906,28.419,881.622,11.096,114.20908,Autumn
2019-09-01 03:30:00,7.462,9.077,10.805,113.026,112.311,5.955,28.254,881.706,11.332,114.90424,Autumn
2019-09-01 03:45:00,7.552,9.187,10.743,110.901,112.81,5.934,28.018,881.766,11.646,118.56365,Autumn
2019-09-01 04:00:00,7.012,8.478,10.263,110.851,112.444,5.989,27.795,881.838,11.947,109.0507,Autumn
2019-09-01 04:15:00,6.798,7.891,9.366,106.923,105.706,5.996,27.595,882.042,12.152,78.50427,Autumn
