date,windspeed_10,windspeed_30,windspeed_50,hd_10,hd_30,hd_50,temperature,pressure,humidity,Target,iso_label,dbscan_label
2019-01-01 00:00:00,0.223,0.0,0.0,166.816,177.355,6.224,-13.154,898.71,53.497,0.979591,1,0
2019-01-01 00:15:00,0.0,0.0,0.0,166.832,177.356,6.526,-13.864,898.621,55.999,1.150984,1,0
2019-01-01 00:30:00,0.0,0.0,0.0,166.859,177.353,28.936,-14.461,898.497,57.747,1.066162,1,0
2019-01-01 00:45:00,0.818,0.0,0.0,166.894,177.344,29.212,-13.066,898.329,54.162,0.923717,1,0
2019-01-01 01:00:00,1.041,0.0,0.297,166.892,177.352,29.378,-12.823,898.356,52.807,0.813552,1,0
2019-01-01 01:15:00,1.676,0.52,1.319,166.916,177.356,12.255,-12.793,898.196,51.031,1.385237,1,0
2019-01-01 01:30:00,2.645,1.472,2.033,166.872,177.28,6.489,-13.671,898.076,53.597,5.187509,1,0
2019-01-01 01:45:00,1.88,2.747,2.339,176.703,192.212,8.162,-13.905,897.939,54.602,8.714045,1,0
2019-01-01 02:00:00,1.676,2.543,2.543,176.739,206.758,9.875,-13.27,897.775,53.981,11.367244,1,0
2019-01-01 02:15:00,0.0,0.149,2.798,176.704,206.675,9.206,-13.598,897.779,54.478,11.250483,1,0
2019-01-01 02:30:00,0.0,0.0,0.72,176.715,206.226,10.13,-14.37,897.819,56.508,9.999856,1,0
2019-01-01 02:45:00,0.0,0.595,0.771,176.731,248.244,10.072,-13.774,897.598,57.363,9.933818,1,0
2019-01-01 03:00:00,1.676,0.0,0.223,137.986,248.206,9.92,-14.292,897.526,57.373,10.093886,1,0
2019-01-01 03:15:00,1.523,0.0,0.595,133.796,120.378,5.979,-14.524,897.482,58.897,9.312982,1,0
2019-01-01 03:30:00,1.245,0.0,1.217,133.856,120.37,7.932,-14.946,897.566,59.676,9.837279,1,0
2019-01-01 03:45:00,0.72,0.074,1.778,140.874,120.46,10.848,-14.211,897.65,60.952,7.927784,1,0
2019-01-01 04:00:00,0.0,0.0,1.268,168.418,279.24,22.304,-14.502,897.73,58.382,7.369089,1,0
2019-01-01 04:15:00,0.595,0.0,0.0,168.372,279.268,30.077,-14.478,897.637,58.705,9.058928,1,0
2019-01-01 04:30:00,0.0,0.0,0.0,168.348,279.234,30.465,-15.174,897.567,60.422,9.65759,1,0
2019-01-01 04:45:00,1.268,0.0,0.0,161.706,279.242,29.974,-15.253,897.313,63.033,9.670287,1,0
2019-01-01 05:00:00,1.523,0.0,0.0,150.543,279.24,29.87,-15.212,897.229,62.815,7.761657,1,0
2019-01-01 05:15:00,1.727,0.52,0.149,144.891,279.162,29.877,-15.038,897.11,61.802,3.668897,1,0
2019-01-01 05:30:00,2.849,1.727,0.595,142.952,119.285,30.059,-15.65,896.896,63.564,2.952846,1,0
2019-01-01 05:45:00,3.155,2.033,0.994,159.145,146.567,6.439,-13.905,896.724,58.667,3.204175,1,0
2019-01-01 06:00:00,0.325,0.297,0.423,169.973,210.63,8.9,-15.47,896.835,60.795,2.197469,1,0
2019-01-01 06:15:00,0.0,0.0,1.245,328.779,305.694,6.315,-16.973,896.648,63.051,1.611944,1,0
2019-01-01 06:30:00,1.574,0.52,0.074,156.754,124.743,0.444,-17.04,896.387,67.285,1.519285,1,0
2019-01-01 06:45:00,1.625,0.0,0.0,189.218,124.679,0.439,-15.422,896.268,63.179,1.401563,1,0
2019-01-01 07:00:00,0.845,0.0,0.0,199.129,124.694,0.441,-15.374,896.312,58.927,1.994513,1,0
2019-01-01 07:15:00,0.446,0.0,0.0,199.114,124.684,0.435,-16.532,896.458,65.79,3.165388,1,0
2019-01-01 07:30:00,0.446,0.0,0.0,195.048,124.688,0.439,-16.221,896.432,66.022,2.765766,1,0
2019-01-01 07:45:00,1.421,0.0,0.0,165.476,124.704,0.443,-16.199,896.423,64.893,3.513149,1,0
2019-01-01 08:00:00,1.982,0.0,0.297,162.573,124.703,1.202,-14.728,896.613,64.278,2.867035,1,0
2019-01-01 08:15:00,2.594,1.37,0.149,152.694,142.53,5.834,-15.478,896.639,61.896,2.280051,1,0
2019-01-01 08:30:00,3.614,2.237,1.268,144.73,157.53,6.301,-16.141,896.675,64.878,1.311047,1,0
2019-01-01 08:45:00,3.563,2.951,1.523,144.396,165.921,5.818,-16.305,896.666,65.499,1.762501,1,0
