date,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,hd_10,hd_100,windgusts_10m,Target
2017/1/2 0:00,28.5,85,24.5,1.44,1.26,2.548180708,2.827433388,1.4,0.1635
2017/1/2 1:00,28.4,86,24.7,2.06,3.99,2.635447171,2.757620218,4.4,0.1424
2017/1/2 2:00,26.8,91,24.5,1.3,2.78,2.583087293,2.617993878,3.2,0.1214
2017/1/2 3:00,27.4,88,24.3,1.3,2.69,1.012290966,1.832595715,1.6,0.1003
2017/1/2 4:00,27.3,88,24.1,2.47,4.43,1.012290966,1.466076572,4,0.0793
2017/1/2 5:00,27.6,90,25.2,2.73,5.59,1.151917306,1.396263402,4.5,0.0778
2017/1/2 6:00,26.7,92,24.9,2.1,5.82,1.134464014,1.361356817,4.7,0.0959
2017/1/2 7:00,28.4,91,26.1,3.1,6.24,1.204277184,1.361356817,4.8,0.1141
2017/1/2 8:00,30.2,88,27,3.54,6.89,1.291543646,1.413716694,5.8,0.1322
2017/1/2 9:00,34,82,29.1,3.44,6.01,1.431169987,1.500983157,6.5,0.1503
2017/1/2 10:00,35.6,73,27.7,3.71,5.32,1.623156204,1.658062789,8,0.1684
2017/1/2 11:00,36.2,69,27,3.22,4.65,1.692969374,1.727875959,8.1,0.1866
2017/1/2 12:00,36.2,71,27.6,3.22,4.55,1.692969374,1.727875959,7.5,0.2066
2017/1/2 13:00,35.9,73,28.2,2.7,3.92,1.605702912,1.675516082,7.3,0.2286
2017/1/2 14:00,36.2,75,28.9,3.31,4.81,1.623156204,1.640609497,7,0.2506
2017/1/2 15:00,35.4,80,29.8,2.8,4.82,1.605702912,1.658062789,7.1,0.2726
2017/1/2 16:00,32.3,90,29.8,2.5,5.53,1.570796327,1.675516082,5.4,0.2945
2017/1/2 17:00,32.8,92,30.8,2.7,6.07,1.570796327,1.727875959,4.6,0.3165
2017/1/2 18:00,34.9,90,32.3,2.75,5.81,1.396263402,1.623156204,5.1,0.3162
2017/1/2 19:00,35.7,92,33.8,2.45,5.79,1.780235837,1.884955592,5.6,0.2936
2017/1/2 20:00,35.7,94,34.1,1.27,3.11,0.785398163,1.466076572,4.5,0.271
2017/1/2 21:00,35.5,95,34.1,2.69,5.35,1.832595715,1.8675023,4.9,0.2484
2017/1/2 22:00,35.7,95,34.3,3.51,6.91,1.919862177,1.954768762,6.6,0.2257
2017/1/2 23:00,36,95,34.8,2.94,6.15,1.745329252,1.954768762,6.8,0.2031
2017/1/3 0:00,36.1,96,35.1,2.94,5.6,1.256637061,1.605702912,5.5,0.1805
2017/1/3 1:00,36.6,97,35.8,2.82,5.77,1.972222055,2.059488517,6.1,0.1579
2017/1/3 2:00,36.6,99,36.2,1.39,3.39,1.93731547,2.35619449,5.2,0.1353
2017/1/3 3:00,36.6,99,36.4,1.61,2.42,0.523598776,1.448623279,3,0.1127
2017/1/3 4:00,36.3,100,36.2,1.17,1.63,0.34906585,0.750491578,3.1,0.0901
2017/1/3 5:00,36.5,100,36.4,1.8,2.82,0.977384381,1.169370599,2.9,0.0858
2017/1/3 6:00,35.9,100,35.8,1.68,3.86,1.274090354,1.396263402,4.3,0.0998
2017/1/3 7:00,36.3,100,36.2,1.8,3.45,0.977384381,1.396263402,3.6,0.1138
2017/1/3 8:00,36.6,100,36.5,2.51,4.62,1.064650844,1.256637061,4.5,0.1278
2017/1/3 9:00,37.4,99,37.2,2.5,4.9,0.925024504,1.221730476,4.8,0.1418
2017/1/3 10:00,37.9,99,37.6,2.02,4.2,0.994837674,1.134464014,4.3,0.1558
2017/1/3 11:00,38.5,98,38,1.53,2.65,1.378810109,1.378810109,4.2,0.1698
2017/1/3 12:00,38.8,97,38.1,1.13,1.58,0.785398163,0.959931089,3.5,0.1839
2017/1/3 13:00,39,97,38.2,1.04,1.49,0.296705973,0.34906585,2.8,0.1979
2017/1/3 14:00,38.7,99,38.4,1.41,2.2,5.497787144,5.602506899,2.7,0.2119
2017/1/3 15:00,38.4,100,38.3,1.78,3.41,5.619960191,5.724679947,3.1,0.2259
2017/1/3 16:00,38,100,37.9,2.58,4.88,5.340707511,5.532693729,4.5,0.2399
2017/1/3 17:00,37.2,99,37,3.16,5.73,5.323254219,5.462880559,5.8,0.2539
2017/1/3 18:00,36.4,99,36.2,2.13,4.53,5.567600314,5.742133239,6.2,0.2909
2017/1/3 19:00,36.2,99,36,3.31,5.52,5.148721293,5.270894341,6.1,0.3508
2017/1/3 20:00,35.7,99,35.5,3.32,5.46,5.078908123,5.166174586,6.8,0.4107
2017/1/3 21:00,35.4,100,35.3,3.57,5.7,5.026548246,5.096361416,6.9,0.4706
2017/1/3 22:00,35,99,34.8,4.85,8.14,4.852015321,4.904375198,9.2,0.5306
2017/1/3 23:00,34,97,33.2,5.87,10.41,4.956735076,4.991641661,11.7,0.5905
2017/1/4 0:00,33.7,95,32.3,4.84,8.32,5.026548246,5.061454831,12.1,0.6504
2017/1/4 1:00,32.6,95,31.2,5.95,10.11,4.852015321,4.869468613,11.7,0.7103
2017/1/4 2:00,32.3,93,30.6,5.85,9.93,4.852015321,4.869468613,12,0.7702
