date,hight,lowt,meant,sidu,fallrain,Target
2012-1-1,19.5,12.1,15.8,63,0,306595.586
2012-1-2,20,13,16,59,0,433730.0114
2012-1-3,18.7,14.2,15.8,72,0,546110.0255
2012-1-4,14.9,9.3,10.9,62,0,581355.2112
2012-1-5,9.2,5.1,6.9,78,2.9,591234.7981
2012-1-6,11,6.3,8.2,92,3.3,585933.9079
2012-1-7,12.4,9.4,10.5,80,0,569117.5756
2012-1-8,16.6,9.9,12.2,75,0,516896.723
2012-1-9,17.3,9.4,12.4,75,0,548819.1317
2012-1-10,17.1,9.4,13.2,73,0,551386.9834
2012-1-11,16.7,11.6,14.5,68,0.4,541350.395
2012-1-12,14.8,11.8,13.1,72,1.8,531319.1893
2012-1-13,16.1,11.4,13.3,88,1,509604.5789
2012-1-14,19.2,13.9,15.8,90,2.2,466885.0935
2012-1-15,16.5,13.2,15,99,14.4,417195.1123
2012-1-16,15.3,12,13.4,90,9.5,406676.6261
2012-1-17,17.7,10.8,13.5,74,0,379858.6116
2012-1-18,24.1,13,16.9,74,0,338332.4332
2012-1-19,23.6,16.5,19.2,85,0,299096.7588
2012-1-20,18.5,15.5,16.4,86,0,256524.5339
2012-1-21,16.1,13.8,14.7,90,0,211083.6236
2012-1-22,13.6,7.4,9.7,93,2.5,184195.1711
2012-1-23,8.9,5.2,7,87,7.5,170880.0583
2012-1-24,8,6,6.7,90,1.9,177393.8077
2012-1-25,7.3,4.5,6.1,77,1.3,194357.115
2012-1-26,7.7,4.5,6.1,86,0.8,217649.2653
2012-1-27,11.4,7,8.7,93,0,224845.3996
2012-1-28,20.2,10.6,13.8,90,0.1,245128.5361
2012-1-29,15.4,10.9,12.8,82,0,265558.5017
2012-1-30,17.9,11.8,13.8,67,0,326358.9406
2012-1-31,17.5,11.1,13.7,57,0,373947.4573
2012-2-1,18,6.5,12,67,0,420499.6089
2012-2-2,15,10.2,12.6,68,0,456526.5826
2012-2-3,10.3,7.1,8.6,76,1.7,482014.8668
2012-2-4,15,8.2,10.7,75,0,476324.1351
2012-2-5,18.9,12.1,14.8,79,0.1,429846.7752
2012-2-6,25.6,14.9,18.5,81,0,464888.7667
2012-2-7,20.5,9.6,12.6,69,11,515061.7625
2012-2-8,11.1,6.8,9,59,0.2,538299.5872
2012-2-9,12.4,5,7.9,61,0.1,545467.2671
2012-2-10,10.8,6.3,9,79,0.1,559435.8398
2012-2-11,9.8,5.2,7,72,0,545443.2395
2012-2-12,13.1,6.6,9.2,79,0,479908.0498
2012-2-13,26.6,10.2,16.6,71,0,544931.2765
2012-2-14,25.2,17,20.2,78,0,568043.4632
2012-2-15,27.5,19.5,22.1,80,0.1,577969.1243
2012-2-16,21.1,10.4,13.9,64,0,578373.0254
2012-2-17,14.6,8.9,10.5,57,0,583104.9183
2012-2-18,15.9,8,10.6,52,0,564016.0351
2012-2-19,16.3,8.1,11.5,47,0,494408.8073
2012-2-20,18.6,8.7,13.8,59,0,569015.8572
2012-2-21,24,14.8,18.2,66,0,593434.7433
