date,hight,lowt,meant,sidu,fallrain,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,Target
2012/1/1,19.5,12.1,15.8,63,0,417548.3142,75026.49729,-59048.54921,-9882.364706,-20023.61248,-845.1563164,306595.586
2012/1/2,20,13,16,59,0,419381.4448,79132.36874,-21095.36507,9993.07267,710.3507975,648.1487011,433730.0114
2012/1/3,18.7,14.2,15.8,72,0,422296.4453,85969.95835,27504.68203,5897.680798,16899.22828,-712.1034803,546110.0255
2012/1/4,14.9,9.3,10.9,62,0,425494.8902,93778.02496,53820.88433,-11361.19903,11201.01505,221.9168202,581355.2112
2012/1/5,9.2,5.1,6.9,78,2.9,428528.831,101072.1027,43108.2103,-2024.455321,-5391.753145,967.9062153,591234.7981
2012/1/6,11,6.3,8.2,92,3.3,431077.1282,106525.2315,6500.146189,12283.73122,-11200.72768,-2116.539978,585933.9079
2012/1/7,12.4,9.4,10.5,80,0,432772.2838,108870.4818,-29476.87039,-935.507165,-1724.612963,3784.206419,569117.5756
2012/1/8,16.6,9.9,12.2,75,0,433468.3775,107316.6109,-41262.41865,-10350.39997,8923.884101,-3858.499916,516896.723
2012/1/9,17.3,9.4,12.4,75,0,433644.0266,102034.9384,-22855.92602,5535.915087,8817.040404,3329.444385,548819.1317
2012/1/10,17.1,9.4,13.2,73,0,433483.0992,93051.75134,9868.058644,7443.21291,-528.1587419,-1977.902728,551386.9834
2012/1/11,16.7,11.6,14.5,68,0.4,433096.9161,80440.97978,32443.82364,-8168.652263,-7877.51749,356.8043211,541350.395
2012/1/12,14.8,11.8,13.1,72,1.8,432501.7369,64292.1187,29978.99521,-3388.753227,-5941.255362,1335.436616,531319.1893
2012/1/13,16.1,11.4,13.3,88,1,431645.5946,44743.54497,6868.66224,9063.472619,1700.196816,-2545.30908,509604.5789
2012/1/14,19.2,13.9,15.8,90,2.2,430439.6227,22035.08541,-18192.73985,-328.9807015,6558.611497,3381.275011,466885.0935
2012/1/15,16.5,13.2,15,99,14.4,428780.2908,-3444.731425,-27020.32765,-7649.327685,4857.177887,-3188.667849,417195.1123
