date,A,B,C,D,E,F,Target
2016-7-1 0:00,0.223,0,0,166.816,177.355,6.224,0.979591
2016-7-1 0:15,0,0,0,166.832,177.356,6.526,1.150984
2016-7-1 0:30,0,0,0,166.859,177.353,28.936,1.066162
2016-7-1 0:45,0.818,0,0,166.894,177.344,29.212,0.923717
2016-7-1 1:00,1.041,0,0.297,166.892,177.352,29.378,0.813552
2016-7-1 1:15,1.676,0.52,1.319,166.916,177.356,12.255,1.385237
2016-7-1 1:30,2.645,1.472,2.033,166.872,177.28,6.489,5.187509
2016-7-1 1:45,1.88,2.747,2.339,176.703,192.212,8.162,8.714045
2016-7-1 2:00,1.676,2.543,2.543,176.739,206.758,9.875,11.367244
2016-7-1 2:15,0,0.149,2.798,176.704,206.675,9.206,11.250483
2016-7-1 2:30,0,0,0.72,176.715,206.226,10.13,9.999856
2016-7-1 2:45,0,0.595,0.771,176.731,248.244,10.072,9.933818
2016-7-1 3:00,1.676,0,0.223,137.986,248.206,9.92,10.093886
2016-7-1 3:15,1.523,0,0.595,133.796,120.378,5.979,9.312982
2016-7-1 3:30,1.245,0,1.217,133.856,120.37,7.932,9.837279
2016-7-1 3:45,0.72,0.074,1.778,140.874,120.46,10.848,7.927784
2016-7-1 4:00,0,0,1.268,168.418,279.24,22.304,7.369089
2016-7-1 4:15,0.595,0,0,168.372,279.268,30.077,9.058928
2016-7-1 4:30,0,0,0,168.348,279.234,30.465,9.65759
2016-7-1 4:45,1.268,0,0,161.706,279.242,29.974,9.670287
2016-7-1 5:00,1.523,0,0,150.543,279.24,29.87,7.761657
2016-7-1 5:15,1.727,0.52,0.149,144.891,279.162,29.877,3.668897
2016-7-1 5:30,2.849,1.727,0.595,142.952,119.285,30.059,2.952846
2016-7-1 5:45,3.155,2.033,0.994,159.145,146.567,6.439,3.204175
2016-7-1 6:00,0.325,0.297,0.423,169.973,210.63,8.9,2.197469
2016-7-1 6:15,0,0,1.245,328.779,305.694,6.315,1.611944
2016-7-1 6:30,1.574,0.52,0.074,156.754,124.743,0.444,1.519285
2016-7-1 6:45,1.625,0,0,189.218,124.679,0.439,1.401563
2016-7-1 7:00,0.845,0,0,199.129,124.694,0.441,1.994513
2016-7-1 7:15,0.446,0,0,199.114,124.684,0.435,3.165388
2016-7-1 7:30,0.446,0,0,195.048,124.688,0.439,2.765766
2016-7-1 7:45,1.421,0,0,165.476,124.704,0.443,3.513149
2016-7-1 8:00,1.982,0,0.297,162.573,124.703,1.202,2.867035
2016-7-1 8:15,2.594,1.37,0.149,152.694,142.53,5.834,2.280051
2016-7-1 8:30,3.614,2.237,1.268,144.73,157.53,6.301,1.311047
2016-7-1 8:45,3.563,2.951,1.523,144.396,165.921,5.818,1.762501
2016-7-1 9:00,3.461,2.798,2.135,153.188,180.965,6.322,3.239402
2016-7-1 9:15,3.053,2.186,1.982,166.805,187.101,7.631,1.964383
2016-7-1 9:30,2.696,2.339,2.084,164.252,204.151,7.594,2.110418
2016-7-1 9:45,2.339,2.645,2.237,170.653,199.905,8.184,2.211432
2016-7-1 10:00,1.88,1.931,1.88,185.758,219.151,9.527,2.628169
2016-7-1 10:15,2.033,1.217,1.778,147.881,219.105,10.899,3.975413
2016-7-1 10:30,0.446,0.771,1.931,148.753,218.865,10.733,4.583397
2016-7-1 10:45,2.135,0,1.523,138.912,218.861,10.77,2.985708
2016-7-1 11:00,2.237,1.017,2.033,145.087,218.848,10.772,2.007861
2016-7-1 11:15,2.237,0.372,1.982,145.982,218.717,11.348,2.822894
2016-7-1 11:30,0.446,0.446,1.676,146.214,190.311,8.581,4.379369
2016-7-1 11:45,0,0,1.119,146.204,190.322,12.784,3.286396
2016-7-1 12:00,0.372,0.223,1.022,37.166,248.745,18.606,1.03646
2016-7-1 12:15,1.296,1.119,1.022,341.068,333.97,36.2,1.188646
2016-7-1 12:30,0.771,0.697,1.296,337.234,320.907,26.981,1.66885
2016-7-1 12:45,0.896,1.347,1.551,316.96,293.392,21.82,3.447384
2016-7-1 13:00,1.676,1.523,1.653,310.448,300.997,20.861,4.862773
2016-7-1 13:15,2.163,2.594,3.002,308.695,297.132,22.185,7.569759
2016-7-1 13:30,2.9,3.053,3.206,281.182,275.947,19.124,9.768313
2016-7-1 13:45,3.359,3.308,3.359,263.885,256.016,12.598,11.594829
2016-7-1 14:00,3.41,3.41,3.308,258.046,276.674,14.368,12.417432
2016-7-1 14:15,3.461,3.818,3.716,290.481,318.504,20.767,11.240369
2016-7-1 14:30,3.461,3.563,3.665,274.942,274.392,18.572,10.308051
2016-7-1 14:45,3.41,3.563,3.767,283.758,276.583,19.018,10.576343
2016-7-1 15:00,2.543,3.053,3.257,264.772,263.768,14.795,13.353983
