date,windspeed_10,windspeed_30,windspeed_50,hd_10,hd_30,hd_50,temperature,pressure,humidity,Target,season
2019-03-01 00:00:00,0.474,2.288,5.45,183.252,188.994,7.314,-0.176,883.965,19.754,7.045495,Spring
2019-03-01 00:15:00,1.374,2.186,4.481,140.046,195.888,7.399,-0.607,883.889,20.177,4.19444,Spring
2019-03-01 00:30:00,0.673,2.747,3.716,187.163,194.592,7.414,-0.625,883.854,20.218,3.897366,Spring
2019-03-01 00:45:00,2.594,2.9,3.818,165.673,176.559,7.272,-0.48,883.765,19.906,6.043788,Spring
2019-03-01 01:00:00,2.441,3.818,4.532,183.238,183.974,7.446,-0.956,883.659,20.954,5.812177,Spring
2019-03-01 01:15:00,2.951,3.614,4.022,184.502,189.562,7.105,-0.386,883.53,20.004,5.451855,Spring
2019-03-01 01:30:00,2.084,3.665,4.634,169.903,187.974,7.247,-0.994,883.442,20.681,5.499357,Spring
2019-03-01 01:45:00,1.226,2.747,4.838,173.045,188.703,7.302,-1.522,883.331,21.943,6.448623,Spring
2019-03-01 02:00:00,1.982,3.257,4.481,162.072,202.318,7.583,-1.242,883.242,21.54,7.383308,Spring
2019-03-01 02:15:00,2.492,4.838,4.532,185.069,198.864,8.024,-0.467,883.149,20.551,6.804219,Spring
2019-03-01 02:30:00,2.39,4.073,3.665,158.79,214.687,8.734,-1.606,883.162,22.582,6.525337,Spring
2019-03-01 02:45:00,2.747,4.226,3.971,158.075,203.368,8.337,-1.201,883.096,21.465,10.259849,Spring
2019-03-01 03:00:00,2.951,5.246,4.787,182.334,192.708,8.197,-1.478,883.158,22.333,14.818367,Spring
2019-03-01 03:15:00,3.563,5.705,5.705,186.63,192.756,7.27,-0.592,883.132,21.076,19.329355,Spring
2019-03-01 03:30:00,4.226,5.501,4.991,205.611,207.12,8.984,-0.504,883.127,21.198,21.729956,Spring
2019-03-01 03:45:00,4.328,5.195,4.889,202.13,211.396,9.301,0.448,883.202,19.383,23.494276,Spring
2019-03-01 04:00:00,2.594,4.481,4.532,206.056,208.003,9.104,-0.344,883.273,20.439,24.221647,Spring
2019-03-01 04:15:00,3.155,4.073,4.226,185.373,201.624,8.777,-1.055,883.149,21.778,21.177378,Spring
2019-03-01 04:30:00,0.72,0.348,3.41,119.476,189.208,7.134,-2.29,883.087,24.038,16.984798,Spring
2019-03-01 04:45:00,0.274,0.074,3.002,170.859,202.085,8.048,-2.134,882.985,23.601,14.676925,Spring
2019-03-01 05:00:00,0.474,0.074,2.39,168.71,211.432,7.604,-3.786,882.936,26.596,15.560061,Spring
2019-03-01 05:15:00,1.676,1.17,2.951,148.165,190.352,8.133,-2.553,882.888,24.74,15.16813,Spring
