date,windspeed_10,windspeed_30,windspeed_50,hd_10,hd_30,hd_50,temperature,pressure,humidity,Target,season
2019-06-01 00:00:00,4.583,4.966,4.864,241.5,250.253,11.735,23.735,883.9,10.142,38.31767,Summer
2019-06-01 00:15:00,4.762,4.379,4.2,240.163,247.108,10.964,23.379,883.812,10.954,39.624306,Summer
2019-06-01 00:30:00,5.118,4.532,3.92,237.739,242.986,10.503,22.89,883.765,11.719,39.25905,Summer
2019-06-01 00:45:00,4.864,4.506,4.124,235.92,243.278,10.872,22.625,883.685,12.204,35.62774,Summer
2019-06-01 01:00:00,4.532,5.501,3.436,230.0,238.042,10.297,21.935,883.588,12.772,34.659767,Summer
2019-06-01 01:15:00,4.481,5.093,3.461,229.36,239.5,10.24,21.868,883.497,12.922,33.828884,Summer
2019-06-01 01:30:00,4.328,5.246,3.665,225.615,235.864,10.02,21.488,883.504,13.48,35.85265,Summer
2019-06-01 01:45:00,4.175,5.246,4.889,215.983,223.262,9.29,21.176,883.458,13.748,27.582367,Summer
2019-06-01 02:00:00,4.022,4.966,4.43,212.052,217.695,9.056,21.006,883.42,13.927,20.127478,Summer
2019-06-01 02:15:00,2.492,1.771,1.82,83.717,86.354,6.014,20.914,883.628,14.047,19.078726,Summer
2019-06-01 02:30:00,2.466,1.778,2.568,146.42,152.133,6.556,20.426,883.515,14.358,15.888272,Summer
2019-06-01 02:45:00,3.461,2.645,3.155,145.425,154.568,6.671,19.831,883.371,14.885,20.459656,Summer
2019-06-01 03:00:00,2.62,3.844,4.43,184.895,186.66,7.252,20.063,883.256,15.313,31.340332,Summer
2019-06-01 03:15:00,2.9,2.9,4.685,161.958,181.317,7.036,19.473,883.156,16.023,46.26485,Summer
2019-06-01 03:30:00,3.308,4.379,5.22,199.621,208.282,8.097,19.808,883.087,16.418,66.432655,Summer
2019-06-01 03:45:00,3.946,5.603,5.858,215.506,223.58,9.186,20.123,883.023,16.554,77.92729,Summer
2019-06-01 04:00:00,6.011,6.98,4.889,231.198,233.59,9.578,21.316,883.05,15.781,113.235886,Summer
2019-06-01 04:15:00,6.75,7.745,5.858,231.982,229.874,9.272,21.616,883.065,15.756,140.02089,Summer
2019-06-01 04:30:00,6.852,7.77,7.924,223.622,223.955,8.392,21.267,883.054,16.042,114.57533,Summer
2019-06-01 04:45:00,6.062,7.082,8.076,218.547,218.715,7.772,21.147,883.058,16.062,83.97655,Summer
2019-06-01 05:00:00,5.322,6.572,7.082,211.064,211.081,7.446,20.952,882.905,16.303,49.41332,Summer
2019-06-01 05:15:00,4.048,5.272,6.802,199.805,202.769,7.456,21.009,882.79,16.423,29.869396,Summer
2019-06-01 05:30:00,2.316,4.098,5.374,200.021,198.569,6.928,21.112,882.799,16.397,18.442146,Summer
2019-06-01 05:45:00,2.406,2.13,2.126,61.73,38.212,5.214,20.126,882.996,17.259,18.22317,Summer
2019-06-01 06:00:00,2.165,2.596,2.747,27.088,27.112,3.182,18.242,883.26,18.719,8.418587,Summer
2019-06-01 06:15:00,0.334,2.645,2.824,49.172,63.388,5.801,16.984,883.174,20.066,1.400001,Summer
2019-06-01 06:30:00,2.67,4.404,3.92,100.364,88.526,5.995,17.929,883.001,19.779,0.986072,Summer
2019-06-01 06:45:00,2.084,3.232,3.282,129.706,108.322,6.061,18.849,883.158,18.624,1.186647,Summer
2019-06-01 07:00:00,0.571,1.817,2.747,101.034,86.605,5.709,18.813,883.471,18.82,0.630906,Summer
2019-06-01 07:15:00,2.008,1.752,3.257,104.592,98.427,5.933,19.01,883.635,18.848,0.631176,Summer
2019-06-01 07:30:00,1.108,1.412,2.033,114.013,110.746,5.984,19.327,883.902,18.556,0.560237,Summer
2019-06-01 07:45:00,2.262,2.262,1.537,133.377,113.336,6.011,19.78,883.898,18.159,0.435375,Summer
2019-06-01 08:00:00,2.416,0.855,0.037,168.696,145.588,5.843,20.227,884.104,17.696,0.425876,Summer
2019-06-01 08:15:00,2.008,1.138,1.163,190.563,175.686,7.546,20.768,884.343,17.158,0.462304,Summer
2019-06-01 08:30:00,1.017,0.869,1.396,209.04,196.077,6.78,22.037,884.747,16.007,0.454985,Summer
2019-06-01 08:45:00,2.135,1.476,1.931,204.176,212.517,7.834,23.017,885.054,15.171,0.434132,Summer
