date,windspeed_10,windspeed_30,windspeed_50,hd_10,hd_30,hd_50,temperature,pressure,humidity,Target,season
2019-01-01 00:00:00,0.223,0.0,0.0,166.816,177.355,6.224,-13.154,898.71,53.497,0.979591,Winter
2019-01-01 00:15:00,0.0,0.0,0.0,166.832,177.356,6.526,-13.864,898.621,55.999,1.150984,Winter
2019-01-01 00:30:00,0.0,0.0,0.0,166.859,177.353,28.936,-14.461,898.497,57.747,1.066162,Winter
2019-01-01 00:45:00,0.818,0.0,0.0,166.894,177.344,29.212,-13.066,898.329,54.162,0.923717,Winter
2019-01-01 01:00:00,1.041,0.0,0.297,166.892,177.352,29.378,-12.823,898.356,52.807,0.813552,Winter
2019-01-01 01:15:00,1.676,0.52,1.319,166.916,177.356,12.255,-12.793,898.196,51.031,1.385237,Winter
2019-01-01 01:30:00,2.645,1.472,2.033,166.872,177.28,6.489,-13.671,898.076,53.597,5.187509,Winter
2019-01-01 01:45:00,1.88,2.747,2.339,176.703,192.212,8.162,-13.905,897.939,54.602,8.714045,Winter
2019-01-01 02:00:00,1.676,2.543,2.543,176.739,206.758,9.875,-13.27,897.775,53.981,11.367244,Winter
2019-01-01 02:15:00,0.0,0.149,2.798,176.704,206.675,9.206,-13.598,897.779,54.478,11.250483,Winter
2019-01-01 02:30:00,0.0,0.0,0.72,176.715,206.226,10.13,-14.37,897.819,56.508,9.999856,Winter
2019-01-01 02:45:00,0.0,0.595,0.771,176.731,248.244,10.072,-13.774,897.598,57.363,9.933818,Winter
2019-01-01 03:00:00,1.676,0.0,0.223,137.986,248.206,9.92,-14.292,897.526,57.373,10.093886,Winter
2019-01-01 03:15:00,1.523,0.0,0.595,133.796,120.378,5.979,-14.524,897.482,58.897,9.312982,Winter
2019-01-01 03:30:00,1.245,0.0,1.217,133.856,120.37,7.932,-14.946,897.566,59.676,9.837279,Winter
2019-01-01 03:45:00,0.72,0.074,1.778,140.874,120.46,10.848,-14.211,897.65,60.952,7.927784,Winter
2019-01-01 04:00:00,0.0,0.0,1.268,168.418,279.24,22.304,-14.502,897.73,58.382,7.369089,Winter
