date,风速,预测功率,风向,温度,湿度,气压,实际风速,实际功率（计量口径一）,Target
2021/01/02 00:00:00,4.2,0.008432,345,-5.9,50,1014,3.7,7448.0,0.004044
2021/01/02 00:15:00,4.3,0.008177,348,-5.9,50,1014,3.3,5497.0,0.003512
2021/01/02 00:30:00,4.2,0.007959,352,-6.0,50,1014,3.3,5583.0,0.003242
2021/01/02 00:45:00,4.3,0.00774,356,-6.0,49,1014,3.0,3926.0,0.001667
2021/01/02 01:00:00,4.3,0.007522,0,-6.1,49,1014,2.5,468.0,0.000204
2021/01/02 01:15:00,4.3,0.007267,3,-6.1,49,1014,2.5,145.0,-0.000385
2021/01/02 01:30:00,4.3,0.006974,5,-6.2,49,1014,2.4,-119.0,-0.000298
2021/01/02 01:45:00,4.3,0.006681,9,-6.3,48,1014,2.2,-110.0,-0.000319
2021/01/02 02:00:00,4.3,0.006388,12,-6.4,48,1014,2.1,-102.0,-0.000308
2021/01/02 02:15:00,4.3,0.006273,15,-6.5,48,1014,2.2,-117.0,-0.000305
2021/01/02 02:30:00,4.4,0.006336,16,-6.6,47,1014,2.1,-98.0,-0.000276
2021/01/02 02:45:00,4.3,0.006399,19,-6.6,47,1014,2.1,-115.0,-0.000317
2021/01/02 03:00:00,4.4,0.006462,20,-6.7,46,1014,2.1,-103.0,-0.000304
2021/01/02 03:15:00,4.4,0.006594,23,-6.7,46,1014,2.2,-38.0,-0.000347
2021/01/02 03:30:00,4.4,0.006796,25,-6.8,45,1014,2.1,-113.0,-0.00033
2021/01/02 03:45:00,4.5,0.006999,29,-6.8,44,1014,2.0,-150.0,-0.000309
2021/01/02 04:00:00,4.5,0.007201,32,-6.9,43,1014,2.1,-129.0,-0.000297
2021/01/02 04:15:00,4.4,0.007406,36,-6.9,43,1014,2.2,-110.0,-0.000284
2021/01/02 04:30:00,4.4,0.007613,39,-6.9,42,1014,2.3,-111.0,-0.000358
2021/01/02 04:45:00,4.4,0.007821,45,-7.0,42,1014,2.6,-141.0,-0.000337
2021/01/02 05:00:00,4.4,0.008028,49,-7.0,41,1014,2.8,32.0,0.001198
2021/01/02 05:15:00,4.4,0.008367,52,-7.0,41,1014,2.9,664.0,0.00069
2021/01/02 05:30:00,4.4,0.008837,57,-7.0,41,1014,2.9,920.0,0.00144
2021/01/02 05:45:00,4.6,0.009306,61,-7.1,40,1014,2.8,1137.0,0.001923
2021/01/02 06:00:00,4.6,0.009776,66,-7.1,40,1014,3.0,947.0,0.000594
2021/01/02 06:15:00,4.7,0.010291,69,-7.1,40,1014,2.7,926.0,0.000882
2021/01/02 06:30:00,4.7,0.010852,72,-7.0,40,1014,3.0,1574.0,0.001838
2021/01/02 06:45:00,4.9,0.011413,73,-7.0,41,1015,2.9,1760.0,0.001866
2021/01/02 07:00:00,4.9,0.011974,76,-6.9,41,1015,2.9,1485.0,6.8e-05
2021/01/02 07:15:00,5.0,0.012175,78,-6.7,40,1015,2.6,742.0,-0.000323
2021/01/02 07:30:00,4.9,0.012017,79,-6.3,39,1015,2.6,556.0,-0.000328
2021/01/02 07:45:00,4.8,0.011858,82,-5.9,38,1015,2.5,123.0,-0.000312
2021/01/02 08:00:00,4.6,0.0117,83,-5.5,37,1015,2.3,-89.0,-0.000365
2021/01/02 08:15:00,4.5,0.011402,84,-4.9,35,1015,2.4,-158.0,-0.00035
2021/01/02 08:30:00,4.4,0.010964,84,-4.2,33,1015,2.3,-121.0,-0.0003
2021/01/02 08:45:00,4.2,0.010527,85,-3.4,30,1016,2.4,-140.0,-0.000358
2021/01/02 09:00:00,4.1,0.010089,84,-2.7,28,1016,2.5,-81.0,-0.000318
2021/01/02 09:15:00,3.9,0.009215,84,-1.9,27,1016,2.3,-156.0,-0.000337
2021/01/02 09:30:00,3.7,0.007906,82,-1.2,26,1016,1.9,-118.0,-0.000315
2021/01/02 09:45:00,3.6,0.006597,80,-0.4,25,1016,1.9,-103.0,-0.000317
2021/01/02 10:00:00,3.4,0.005288,78,0.3,24,1016,2.0,-114.0,-0.000329
