date,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,hd_10,hd_100,windgusts_10m,Target
2017/1/2 0:00,14.5,91,12.4,6.37,9.58,1.186823891,1.256637061,9.9,0.2574
2017/1/2 1:00,14.5,92,12.7,6.46,9.23,1.186823891,1.256637061,9.5,0.2535
2017/1/2 2:00,14.7,92,12.7,6.18,9.27,1.169370599,1.291543646,9.4,0.2497
2017/1/2 3:00,14.7,92,12.8,5.91,9.08,1.082104136,1.204277184,9.1,0.2458
2017/1/2 4:00,14.8,92,12.9,5.88,8.72,1.012290966,1.134464014,8.7,0.2419
2017/1/2 5:00,14.7,92,12.9,6.12,8.83,0.907571211,1.029744259,8.8,0.2354
2017/1/2 6:00,14.4,92,12.5,6.37,8.98,0.837758041,0.907571211,9.1,0.2261
2017/1/2 7:00,14.2,92,12.3,6.33,9.24,0.890117919,0.977384381,9.3,0.2168
2017/1/2 8:00,14.1,92,12.2,5.97,9.1,0.872664626,0.994837674,9.2,0.2075
2017/1/2 9:00,14.2,92,12.2,5.74,8.77,0.855211333,0.959931089,8.8,0.1982
2017/1/2 10:00,14.5,91,12.3,5.87,8.17,0.802851456,0.872664626,8.6,0.1889
2017/1/2 11:00,14.8,91,12.6,5.46,7.28,0.855211333,0.925024504,8.6,0.1796
2017/1/2 12:00,15.4,91,13.1,5.03,6.72,0.715584993,0.802851456,8.2,0.17
2017/1/2 13:00,15.5,91,13.3,5.28,6.96,0.506145483,0.610865238,7.6,0.16
2017/1/2 14:00,16,90,13.6,4.46,5.73,0.34906585,0.436332313,8,0.15
2017/1/2 15:00,15.4,91,13.2,6.13,8.32,0.41887902,0.471238898,8.7,0.14
2017/1/2 16:00,14.8,91,12.6,6.24,8.32,0.27925268,0.314159265,9.6,0.13
2017/1/2 17:00,13.8,90,11.4,6.79,9,0.157079633,0.20943951,9.8,0.12
2017/1/2 18:00,12.9,88,10,6.41,8.4,6.23082543,6.265732015,9.9,0.1295
2017/1/2 19:00,11.9,87,8.9,6.58,8.75,6.126105675,6.178465552,9.6,0.1586
2017/1/2 20:00,11.2,86,7.9,6.55,8.63,6.073745797,6.108652382,9.5,0.1877
2017/1/2 21:00,10,84,6.2,7.2,9.86,5.846852994,5.881759579,10.4,0.2168
2017/1/2 22:00,8.7,83,4.6,7.94,10.61,5.742133239,5.777039824,11.2,0.2459
2017/1/2 23:00,6.2,83,2.1,8.94,12.58,5.724679947,5.777039824,12.8,0.275
2017/1/3 0:00,3.8,82,-0.5,9.3,13.21,5.724679947,5.777039824,13.3,0.3041
2017/1/3 1:00,2.1,80,-2.6,10.03,14.27,5.759586532,5.794493117,14.5,0.3332
2017/1/3 2:00,0.8,79,-4.2,9.81,14.05,5.759586532,5.794493117,14.6,0.3623
2017/1/3 3:00,0.2,79,-4.8,10.11,14.31,5.811946409,5.829399702,14.6,0.3914
2017/1/3 4:00,0.1,79,-4.9,9.26,13.42,5.829399702,5.846852994,14.6,0.4205
2017/1/3 5:00,0.1,79,-4.9,8.88,12.74,5.689773362,5.742133239,13.4,0.4486
2017/1/3 6:00,-1,79,-5.9,11.14,15.76,5.637413484,5.654866776,14.4,0.4757
2017/1/3 7:00,-2.8,79,-7.6,10.91,15.85,5.567600314,5.602506899,16.1,0.5029
2017/1/3 8:00,-3.6,79,-8.6,11.03,16.12,5.480333851,5.515240436,15.9,0.53
2017/1/3 9:00,-3.6,78,-8.9,11.5,16.58,5.410520681,5.445427266,16.6,0.5571
2017/1/3 10:00,-3.5,77,-8.9,11.27,16.07,5.427973974,5.445427266,16.7,0.5843
2017/1/3 11:00,-3.8,77,-9.2,10.99,15.29,5.427973974,5.445427266,16.4,0.6114
2017/1/3 12:00,-4.4,76,-10,10.18,15.25,5.375614096,5.410520681,15.9,0.6154
2017/1/3 13:00,-4.9,76,-10.6,10.18,14.69,5.375614096,5.410520681,14.9,0.5962
2017/1/3 14:00,-5,75,-10.8,9.7,14.12,5.358160804,5.410520681,14.8,0.5771
2017/1/3 15:00,-5.3,75,-11,9.36,13.65,5.358160804,5.393067389,14.6,0.5579
2017/1/3 16:00,-6.2,76,-11.8,9.38,13.81,5.340707511,5.393067389,13.7,0.5388
2017/1/3 17:00,-7.5,76,-13.1,9.04,13.74,5.288347634,5.340707511,13.6,0.5196
2017/1/3 18:00,-8,76,-13.5,8.96,13.81,5.393067389,5.445427266,13.6,0.51
2017/1/3 19:00,-8.9,76,-14.3,9.27,14.17,5.323254219,5.375614096,13.3,0.51
2017/1/3 20:00,-9.5,76,-15,9.38,14.4,5.253441049,5.340707511,13.5,0.51
2017/1/3 21:00,-10,75,-15.7,9.28,14.31,5.235987756,5.305800926,13.5,0.51
2017/1/3 22:00,-10.7,74,-16.6,9.52,14.65,5.270894341,5.323254219,13.7,0.51
2017/1/3 23:00,-11.3,73,-17.4,9.13,14.24,5.270894341,5.340707511,13.7,0.51
2017/1/4 0:00,-11.8,73,-18.1,8.82,13.76,5.218534463,5.305800926,13.2,0.51
2017/1/4 1:00,-12.4,73,-18.5,8.59,13.55,5.166174586,5.253441049,12.6,0.51
2017/1/4 2:00,-12.7,74,-18.7,8.54,13.52,5.183627878,5.270894341,12.4,0.51
2017/1/4 3:00,-12.8,74,-18.8,8.37,13.34,5.218534463,5.305800926,12.3,0.51
2017/1/4 4:00,-12.7,74,-18.6,8.06,12.98,5.235987756,5.323254219,12.1,0.51
2017/1/4 5:00,-12.6,75,-18.4,7.89,12.86,5.235987756,5.358160804,11.6,0.4862
2017/1/4 6:00,-13.2,76,-18.7,7.02,11.7,5.288347634,5.410520681,11.2,0.4388
2017/1/4 7:00,-13.6,76,-19,6.75,11.29,5.148721293,5.323254219,10,0.3913
2017/1/4 8:00,-14,76,-19.5,6.71,11.14,5.009094953,5.166174586,9.7,0.3438
2017/1/4 9:00,-13.9,75,-19.5,6.77,11.14,4.991641661,5.148721293,9.6,0.2962
2017/1/4 10:00,-12.6,74,-18.5,6.84,11.11,4.921828491,5.078908123,9.9,0.2488
2017/1/4 11:00,-11.6,74,-17.6,7.32,11.43,4.799655443,4.921828491,10.6,0.2013
2017/1/4 12:00,-10.7,74,-16.8,7.1,11.23,4.694935688,4.78220215,10.6,0.1952
2017/1/4 13:00,-9.3,73,-15.5,6.81,10.98,4.764748858,4.834562028,10.3,0.2306
2017/1/4 14:00,-8.8,73,-15.1,6.79,10.89,4.869468613,4.939281783,9.9,0.266
2017/1/4 15:00,-8.7,73,-14.9,7.07,10.79,4.852015321,4.939281783,10.2,0.3015
2017/1/4 16:00,-9.7,75,-15.5,6.59,10.36,4.886921906,4.974188368,10.2,0.3369
2017/1/4 17:00,-11.3,76,-16.8,6.45,10.4,4.939281783,5.026548246,9.4,0.3723
2017/1/4 18:00,-11,77,-16.2,6.71,10.73,5.061454831,5.183627878,9.7,0.3919
2017/1/4 19:00,-11.4,77,-16.6,6.85,10.88,5.113814708,5.218534463,9.9,0.3958
2017/1/4 20:00,-11.8,77,-17,6.84,10.86,5.148721293,5.253441049,9.8,0.3997
2017/1/4 21:00,-12.4,77,-17.6,7.04,11.19,5.113814708,5.218534463,10,0.4035
2017/1/4 22:00,-12.6,77,-17.9,6.99,11.2,5.131268001,5.235987756,10,0.4074
2017/1/4 23:00,-13.1,77,-18.3,7.02,11.32,5.166174586,5.270894341,10,0.4112
2017/1/5 0:00,-13.2,77,-18.3,6.75,10.87,5.183627878,5.305800926,10,0.4151
2017/1/5 1:00,-14,77,-19.1,6.58,10.63,5.201081171,5.323254219,9.7,0.419
2017/1/5 2:00,-14.5,77,-19.7,6.66,10.76,5.201081171,5.323254219,9.4,0.4228
2017/1/5 3:00,-14.5,77,-19.7,6.9,11.3,5.235987756,5.340707511,9.9,0.4267
2017/1/5 4:00,-14.3,77,-19.5,7,11.4,5.253441049,5.375614096,10.1,0.4306
2017/1/5 5:00,-14.3,77,-19.4,7.28,11.82,5.358160804,5.462880559,10.4,0.422
2017/1/5 6:00,-12,77,-17.2,7.35,11.69,5.497787144,5.567600314,10.6,0.4009
2017/1/5 7:00,-12.7,77,-17.8,7.22,11.53,5.532693729,5.602506899,10.6,0.3798
2017/1/5 8:00,-13.7,77,-18.8,6.65,10.82,5.515240436,5.619960191,10.4,0.3588
2017/1/5 9:00,-14.3,77,-19.3,6.45,10.61,5.427973974,5.532693729,9.5,0.3377
2017/1/5 10:00,-13.7,76,-19,6.6,10.56,5.323254219,5.445427266,9.5,0.3166
2017/1/5 11:00,-12.8,76,-18.3,6.66,10.39,5.288347634,5.393067389,9.6,0.2955
2017/1/5 12:00,-11.9,75,-17.5,6.81,10.21,5.235987756,5.323254219,9.8,0.2925
2017/1/5 13:00,-11.6,75,-17.4,6.8,9.98,5.131268001,5.201081171,10,0.3075
2017/1/5 14:00,-11.7,74,-17.6,7.02,10.16,5.061454831,5.131268001,10.2,0.3225
2017/1/5 15:00,-11.7,74,-17.6,6.86,10.44,5.044001538,5.113814708,10.4,0.3375
2017/1/5 16:00,-12.3,75,-18,6.8,10.64,5.009094953,5.096361416,10,0.3525
2017/1/5 17:00,-13.4,75,-19.2,6.94,11.01,4.921828491,5.009094953,9.9,0.3675
2017/1/5 18:00,-13.4,75,-19,6.63,10.72,4.904375198,5.026548246,10.2,0.3673
2017/1/5 19:00,-13.2,75,-18.9,6.71,10.85,4.886921906,5.009094953,9.6,0.3518
2017/1/5 20:00,-13.2,74,-19,6.85,11.09,4.834562028,4.939281783,9.7,0.3364
2017/1/5 21:00,-12.7,74,-18.7,7.23,11.87,4.817108736,4.921828491,10.3,0.3209
2017/1/5 22:00,-12.1,74,-18,7.34,12.01,4.817108736,4.939281783,10.5,0.3055
2017/1/5 23:00,-11.6,74,-17.5,7.36,11.98,4.834562028,4.974188368,10.5,0.29
2017/1/6 0:00,-11.3,75,-17,7.38,12.09,4.869468613,4.991641661,10.6,0.2745
2017/1/6 1:00,-10.8,75,-16.5,7.24,11.77,4.904375198,5.044001538,10.6,0.2591
2017/1/6 2:00,-10.7,76,-16.3,7.03,11.5,4.974188368,5.131268001,10.3,0.2436
2017/1/6 3:00,-10.9,76,-16.4,6.61,10.91,5.026548246,5.183627878,10,0.2282
2017/1/6 4:00,-11,77,-16.3,6.3,10.41,5.061454831,5.253441049,9.5,0.2127
2017/1/6 5:00,-11.2,77,-16.3,6.05,9.93,5.096361416,5.305800926,9,0.1979
2017/1/6 6:00,-10.1,78,-15,5.33,8.91,5.235987756,5.497787144,8.5,0.1837
2017/1/6 7:00,-9.7,78,-14.5,5.06,8.28,5.235987756,5.515240436,7.5,0.1694
2017/1/6 8:00,-10.2,79,-15,4.74,7.21,5.148721293,5.515240436,7.1,0.1552
2017/1/6 9:00,-10.1,79,-14.8,4.84,7.12,5.026548246,5.375614096,6.7,0.141
2017/1/6 10:00,-8.8,78,-13.7,4.34,6.49,4.974188368,5.305800926,6.7,0.1267
2017/1/6 11:00,-6,77,-11.2,3.88,5.88,4.921828491,5.270894341,6.2,0.1125
2017/1/6 12:00,-3.7,77,-9.1,3.82,5.55,4.817108736,5.113814708,5.7,0.0983
2017/1/6 13:00,-1.8,78,-7.1,3.92,5.73,4.817108736,4.991641661,6,0.084
2017/1/6 14:00,-0.8,78,-6,3.91,5.85,4.939281783,5.061454831,6,0.0698
2017/1/6 15:00,-0.3,78,-5.5,3.55,5.77,5.096361416,5.201081171,5.8,0.0556
2017/1/6 16:00,-0.8,79,-5.8,3.69,6.17,5.288347634,5.410520681,5.3,0.0413
2017/1/6 17:00,-4.3,80,-8.9,4.24,6.86,5.305800926,5.532693729,5.8,0.0271
2017/1/6 18:00,-5.3,82,-9.5,4.24,6.95,5.532693729,5.759586532,6.3,0.0418
2017/1/6 19:00,-6.6,82,-10.6,4.52,7.16,5.323254219,5.567600314,6.1,0.0855
2017/1/6 20:00,-7,82,-11,5.11,8.21,5.253441049,5.462880559,7.1,0.1291
2017/1/6 21:00,-7.3,82,-11.4,5.64,9,5.148721293,5.358160804,7.9,0.1727
2017/1/6 22:00,-7.3,80,-11.8,6.51,10.69,5.026548246,5.201081171,9.1,0.2164
2017/1/6 23:00,-6.7,77,-11.9,7.47,12.27,5.061454831,5.218534463,10.6,0.26
2017/1/7 0:00,-6.4,76,-12,7.78,12.71,5.166174586,5.323254219,11.1,0.3036
2017/1/7 1:00,-6.8,73,-13.1,8.11,13.18,5.235987756,5.375614096,11.6,0.3473
2017/1/7 2:00,-7.4,72,-14,7.85,12.68,5.305800926,5.427973974,11.7,0.3909
2017/1/7 3:00,-7.9,71,-14.8,7.36,12.02,5.358160804,5.480333851,11.2,0.4345
2017/1/7 4:00,-8.3,71,-15.3,7.14,11.67,5.358160804,5.497787144,10.5,0.4782
2017/1/7 5:00,-8.9,71,-15.8,7.03,11.54,5.410520681,5.550147021,10.2,0.4807
2017/1/7 6:00,-9.7,74,-15.8,6.72,11.2,5.480333851,5.637413484,10,0.4421
2017/1/7 7:00,-10.6,74,-16.5,6.37,10.57,5.550147021,5.707226654,9.6,0.4036
2017/1/7 8:00,-11.2,75,-16.9,5.8,9.64,5.515240436,5.742133239,8.9,0.365
2017/1/7 9:00,-11.3,76,-16.9,5.45,8.82,5.480333851,5.777039824,8.2,0.3264
2017/1/7 10:00,-9.9,75,-15.8,4.95,7.87,5.462880559,5.811946409,7.7,0.2879
2017/1/7 11:00,-8.5,74,-14.5,4.38,6.71,5.323254219,5.707226654,7,0.2493
2017/1/7 12:00,-7,73,-13.3,3.94,5.82,5.235987756,5.672320069,6.4,0.238
2017/1/7 13:00,-5.9,72,-12.5,3.38,4.55,5.044001538,5.585053606,5.6,0.254
2017/1/7 14:00,-6,73,-12.4,3.21,3.33,4.799655443,5.288347634,4.9,0.2701
2017/1/7 15:00,-7,74,-13,3.13,2.62,4.590215933,5.026548246,4.6,0.2861
2017/1/7 16:00,-8.9,76,-14.5,3.68,2.97,4.328416545,4.36332313,5,0.3021
2017/1/7 17:00,-11.2,76,-16.6,3.72,2.7,4.29350996,4.031710572,5.2,0.3182
2017/1/7 18:00,-11.5,78,-16.5,3.89,4.73,3.94444411,3.368485456,5.1,0.3342
2017/1/7 19:00,-11.1,76,-16.7,4.36,6.12,3.787364477,3.333578871,5.7,0.3502
2017/1/7 20:00,-9.8,73,-16.1,4.74,7.71,3.577924967,3.316125579,6.4,0.3662
2017/1/7 21:00,-8.9,71,-15.6,5.57,9.5,3.455751919,3.281218994,7.5,0.3823
2017/1/7 22:00,-8,70,-15.2,6.61,11.39,3.490658504,3.438298626,9.2,0.3983
2017/1/7 23:00,-7.9,69,-15.4,6.74,11.79,3.403392041,3.368485456,9.4,0.4143
2017/1/8 0:00,-7.4,75,-13.4,6.95,12.26,3.263765701,3.246312409,9.8,0.4304
2017/1/8 1:00,-6.7,74,-12.8,7.6,13.21,3.176499239,3.176499239,10.8,0.4464
2017/1/8 2:00,-6.2,71,-13,7.83,13.61,3.054326191,3.106686069,11.2,0.4624
2017/1/8 3:00,-5.6,69,-13.2,8.12,14,2.967059728,3.019419606,11.6,0.4785
2017/1/8 4:00,-4.6,68,-12.5,8.47,14.48,2.932153143,2.984513021,12.2,0.4945
2017/1/8 5:00,-3,67,-11.1,8.81,14.81,2.932153143,2.967059728,12.6,0.4786
2017/1/8 6:00,-1.4,69,-9.1,9.44,15.48,2.879793266,2.914699851,13.3,0.4307
2017/1/8 7:00,0.3,70,-7.1,9.46,15.28,2.862339973,2.914699851,13.7,0.3829
2017/1/8 8:00,2.3,71,-4.9,9.28,14.68,2.949606436,2.984513021,13.7,0.335
2017/1/8 9:00,3.8,73,-2.9,8.2,13.09,2.984513021,3.019419606,13.4,0.2871
2017/1/8 10:00,5.2,75,-1,7.1,11.47,2.967059728,3.019419606,11.8,0.2393
2017/1/8 11:00,6.9,77,1.1,7,11.1,3.106686069,3.159045946,10.3,0.1914
2017/1/8 12:00,9.3,79,4.1,6.26,9.79,3.281218994,3.333578871,10.1,0.1853
2017/1/8 13:00,11.4,81,6.6,5.28,8.6,3.473205211,3.543018382,9.1,0.2209
2017/1/8 14:00,12.9,82,8.5,5.78,9.16,4.066617157,4.08407045,8.2,0.2565
2017/1/8 15:00,9.6,79,4.3,8.25,10.88,5.044001538,5.061454831,11.8,0.292
2017/1/8 16:00,4.2,79,-0.8,8.96,13.14,5.323254219,5.358160804,12.8,0.3276
2017/1/8 17:00,1,78,-4.3,9.91,14.43,5.462880559,5.480333851,14.3,0.3632
2017/1/8 18:00,-0.7,79,-5.7,9.13,13.62,5.672320069,5.689773362,14.3,0.3807
2017/1/8 19:00,-1.9,79,-6.8,8.28,12.64,5.532693729,5.585053606,13.2,0.3802
2017/1/8 20:00,-2.9,79,-7.9,8.35,12.73,5.550147021,5.602506899,12.3,0.3796
2017/1/8 21:00,-3.9,78,-9,7.82,12.12,5.602506899,5.672320069,12,0.3791
2017/1/8 22:00,-4.8,78,-9.9,7.35,11.45,5.497787144,5.602506899,11.2,0.3785
2017/1/8 23:00,-5.6,79,-10.6,7.04,11.07,5.602506899,5.707226654,10.6,0.378
2017/1/9 0:00,-5.4,78,-10.5,5.56,8.95,5.619960191,5.846852994,10,0.3775
2017/1/9 1:00,-5.1,79,-10,4.43,7.62,5.969026042,6.195918845,8,0.3769
