date,U10,V10,U100,V100,Target
20120101 1:00,2.12460013902668,-2.681966369,2.86427959225713,-3.666075765,0
20120101 2:00,2.52169465408196,-1.796960091,3.34485867183801,-2.464761461,0.0548791196734229
20120101 3:00,2.67220985488329,-0.82251622,3.50844801694858,-1.214092935,0.110233998070724
20120101 4:00,2.45750434785786,-0.143642299,3.21523251256354,-0.355546415,0.165116055637106
20120101 5:00,2.24589768320187,0.389576113004104,2.95767835330642,0.332700922366452,0.156940134185841
20120101 6:00,1.98603761593604,0.796304214825287,2.65540599936508,0.882647967088621,0.168781125506688
20120101 7:00,1.31978650650661,1.44068077823414,1.94670752158503,1.94132314588317,0.114744853861423
20120101 8:00,-0.122060579,2.35890673375924,-0.235427168,4.32388465225841,0.0854243022705468
20120101 9:00,-1.380190581,2.90362426488939,-3.048145009,6.04152004736207,0.153181090674978
20120101 10:00,-1.710881331,2.01393316048682,-4.213648336,4.87762817559306,0.139272624528741
20120101 11:00,-2.134980044,1.42577451272237,-5.470852265,3.72132926104901,0.0838267061741016
20120101 12:00,-2.340389024,0.61785492198437,-6.095208831,1.56492940916011,0.147824450015415
20120101 13:00,-2.21422187,0.098265095574062,-5.785577787,0.0984039565676574,0.138708762688229
20120101 14:00,-2.139406961,-0.226265599,-5.605006849,-0.861562778,0.222065590133385
20120101 15:00,-2.020322876,-0.455396195,-5.185561504,-1.845935447,0.241048768649564
20120101 16:00,-1.751608973,-1.251390773,-3.655519982,-4.639601352,0.245841549573121
20120101 17:00,-0.978669148,-2.614675228,-1.485272407,-7.574821673,0.239075272726724
20120101 18:00,-0.234061596,-3.575916406,0.0289196280396382,-8.864539693,0.253453619706413
20120101 19:00,0.24758704668064,-3.91194622,1.00592727392492,-9.025076503,0.302039274946328
20120101 20:00,0.371540741458209,-3.726682635,1.24593378716673,-8.7061723,0.516022917269729
20120101 21:00,0.431304130011679,-3.920464086,1.17517715000818,-8.187681792,0.735457174946228
20120101 22:00,0.522941325793667,-4.344653814,1.14291212346388,-7.909996499,0.618926787176083
20120101 23:00,1.03380762498407,-4.925572275,1.67670019418799,-7.585668755,0.815430868177201
20120102 0:00,1.46808824847263,-5.200273454,2.25464040649904,-7.688173678,0.760454833812776
20120102 1:00,2.7925368709901,-5.818453425,4.17629893810235,-8.510670134,0.439244421492916
20120102 2:00,3.69042858115455,-5.504235074,5.44032012034341,-8.013328954,0.20580771876763
20120102 3:00,3.89392367754397,-5.205664206,5.71488209845315,-7.581300609,0.190019729287579
20120102 4:00,3.76136810678831,-5.021700568,5.64909083200043,-7.419089223,0.803495886379011
20120102 5:00,3.59151861398519,-4.586108508,5.79984089922672,-7.160514637,0.755004215302918
20120102 6:00,2.89225757559527,-3.52588589,5.29008809458525,-6.348387005,0.376750293793242
20120102 7:00,2.57120555101276,-3.199826202,5.12276070037875,-6.386932285,0.567803765754787
20120102 8:00,3.20560759453754,-0.550326921,7.32961735461928,-1.311803773,0.274222340549345
20120102 9:00,2.90117568738923,0.764061549006269,7.02759917869857,1.81785880904289,0.154684707868872
20120102 10:00,2.19988780540976,1.11972458100305,5.65427124668175,2.98492422629667,0.0952917945117919
20120102 11:00,1.78843855673395,1.98498803339951,4.44412637712638,5.08992478622412,0.0874917749914293
20120102 12:00,0.881223366057629,1.86868918227096,2.35590121908797,4.90844076033007,0.0239521635684953
20120102 13:00,0.676106794796584,1.92874167994461,1.64514832481145,4.56849280622174,0.00195294224692232
20120102 14:00,0.207500556895856,1.90505900480571,0.792970109734995,3.93731384890881,0.0594868901551234
20120102 15:00,-0.987121055,1.68430264011805,-0.827981644,2.97582325744652,0.0238670004493282
20120102 16:00,-1.045899519,1.51218034044778,-0.978731711,2.51327989941567,0
