date,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,hd_10,hd_100,windgusts_10m,Target,season
2017-01-02 00:00:00,28.5,85,24.5,1.44,1.26,2.548180708,2.827433388,1.4,0.1635,Winter
2017-01-02 01:00:00,28.4,86,24.7,2.06,3.99,2.635447171,2.757620218,4.4,0.1424,Winter
2017-01-02 02:00:00,26.8,91,24.5,1.3,2.78,2.583087293,2.617993878,3.2,0.1214,Winter
2017-01-02 03:00:00,27.4,88,24.3,1.3,2.69,1.012290966,1.832595715,1.6,0.1003,Winter
2017-01-02 04:00:00,27.3,88,24.1,2.47,4.43,1.012290966,1.466076572,4.0,0.0793,Winter
2017-01-02 05:00:00,27.6,90,25.2,2.73,5.59,1.151917306,1.396263402,4.5,0.0778,Winter
2017-01-02 06:00:00,26.7,92,24.9,2.1,5.82,1.134464014,1.361356817,4.7,0.0959,Winter
2017-01-02 07:00:00,28.4,91,26.1,3.1,6.24,1.204277184,1.361356817,4.8,0.1141,Winter
2017-01-02 08:00:00,30.2,88,27.0,3.54,6.89,1.291543646,1.413716694,5.8,0.1322,Winter
2017-01-02 09:00:00,34.0,82,29.1,3.44,6.01,1.431169987,1.500983157,6.5,0.1503,Winter
2017-01-02 10:00:00,35.6,73,27.7,3.71,5.32,1.623156204,1.658062789,8.0,0.1684,Winter
2017-01-02 11:00:00,36.2,69,27.0,3.22,4.65,1.692969374,1.727875959,8.1,0.1866,Winter
2017-01-02 12:00:00,36.2,71,27.6,3.22,4.55,1.692969374,1.727875959,7.5,0.2066,Winter
2017-01-02 13:00:00,35.9,73,28.2,2.7,3.92,1.605702912,1.675516082,7.3,0.2286,Winter
2017-01-02 14:00:00,36.2,75,28.9,3.31,4.81,1.623156204,1.640609497,7.0,0.2506,Winter
2017-01-02 15:00:00,35.4,80,29.8,2.8,4.82,1.605702912,1.658062789,7.1,0.2726,Winter
2017-01-02 16:00:00,32.3,90,29.8,2.5,5.53,1.570796327,1.675516082,5.4,0.2945,Winter
2017-01-02 17:00:00,32.8,92,30.8,2.7,6.07,1.570796327,1.727875959,4.6,0.3165,Winter
2017-01-02 18:00:00,34.9,90,32.3,2.75,5.81,1.396263402,1.623156204,5.1,0.3162,Winter
2017-01-02 19:00:00,35.7,92,33.8,2.45,5.79,1.780235837,1.884955592,5.6,0.2936,Winter
2017-01-02 20:00:00,35.7,94,34.1,1.27,3.11,0.785398163,1.466076572,4.5,0.271,Winter
2017-01-02 21:00:00,35.5,95,34.1,2.69,5.35,1.832595715,1.8675023,4.9,0.2484,Winter
2017-01-02 22:00:00,35.7,95,34.3,3.51,6.91,1.919862177,1.954768762,6.6,0.2257,Winter
2017-01-02 23:00:00,36.0,95,34.8,2.94,6.15,1.745329252,1.954768762,6.8,0.2031,Winter
2017-01-03 00:00:00,36.1,96,35.1,2.94,5.6,1.256637061,1.605702912,5.5,0.1805,Winter
2017-01-03 01:00:00,36.6,97,35.8,2.82,5.77,1.972222055,2.059488517,6.1,0.1579,Winter
2017-01-03 02:00:00,36.6,99,36.2,1.39,3.39,1.93731547,2.35619449,5.2,0.1353,Winter
2017-01-03 03:00:00,36.6,99,36.4,1.61,2.42,0.523598776,1.448623279,3.0,0.1127,Winter
2017-01-03 04:00:00,36.3,100,36.2,1.17,1.63,0.34906585,0.750491578,3.1,0.0901,Winter
2017-01-03 05:00:00,36.5,100,36.4,1.8,2.82,0.977384381,1.169370599,2.9,0.0858,Winter
2017-01-03 06:00:00,35.9,100,35.8,1.68,3.86,1.274090354,1.396263402,4.3,0.0998,Winter
2017-01-03 07:00:00,36.3,100,36.2,1.8,3.45,0.977384381,1.396263402,3.6,0.1138,Winter
2017-01-03 08:00:00,36.6,100,36.5,2.51,4.62,1.064650844,1.256637061,4.5,0.1278,Winter
2017-01-03 09:00:00,37.4,99,37.2,2.5,4.9,0.925024504,1.221730476,4.8,0.1418,Winter
2017-01-03 10:00:00,37.9,99,37.6,2.02,4.2,0.994837674,1.134464014,4.3,0.1558,Winter
2017-01-03 11:00:00,38.5,98,38.0,1.53,2.65,1.378810109,1.378810109,4.2,0.1698,Winter
2017-01-03 12:00:00,38.8,97,38.1,1.13,1.58,0.785398163,0.959931089,3.5,0.1839,Winter
2017-01-03 13:00:00,39.0,97,38.2,1.04,1.49,0.296705973,0.34906585,2.8,0.1979,Winter
2017-01-03 14:00:00,38.7,99,38.4,1.41,2.2,5.497787144,5.602506899,2.7,0.2119,Winter
2017-01-03 15:00:00,38.4,100,38.3,1.78,3.41,5.619960191,5.724679947,3.1,0.2259,Winter
2017-01-03 16:00:00,38.0,100,37.9,2.58,4.88,5.340707511,5.532693729,4.5,0.2399,Winter
2017-01-03 17:00:00,37.2,99,37.0,3.16,5.73,5.323254219,5.462880559,5.8,0.2539,Winter
2017-01-03 18:00:00,36.4,99,36.2,2.13,4.53,5.567600314,5.742133239,6.2,0.2909,Winter
2017-01-03 19:00:00,36.2,99,36.0,3.31,5.52,5.148721293,5.270894341,6.1,0.3508,Winter
2017-01-03 20:00:00,35.7,99,35.5,3.32,5.46,5.078908123,5.166174586,6.8,0.4107,Winter
2017-01-03 21:00:00,35.4,100,35.3,3.57,5.7,5.026548246,5.096361416,6.9,0.4706,Winter
2017-01-03 22:00:00,35.0,99,34.8,4.85,8.14,4.852015321,4.904375198,9.2,0.5306,Winter
2017-01-03 23:00:00,34.0,97,33.2,5.87,10.41,4.956735076,4.991641661,11.7,0.5905,Winter
2017-01-04 00:00:00,33.7,95,32.3,4.84,8.32,5.026548246,5.061454831,12.1,0.6504,Winter
2017-01-04 01:00:00,32.6,95,31.2,5.95,10.11,4.852015321,4.869468613,11.7,0.7103,Winter
2017-01-04 02:00:00,32.3,93,30.6,5.85,9.93,4.852015321,4.869468613,12.0,0.7702,Winter
2017-01-04 03:00:00,31.9,91,29.4,7.26,11.81,4.834562028,4.852015321,14.2,0.8301,Winter
2017-01-04 04:00:00,28.7,88,25.5,7.41,11.93,4.747295565,4.78220215,14.9,0.89,Winter
2017-01-04 05:00:00,25.9,78,20.0,7.6,12.3,4.677482395,4.71238898,15.0,0.9207,Winter
2017-01-04 06:00:00,25.4,77,19.3,8.33,13.42,4.625122518,4.660029103,16.5,0.9221,Winter
2017-01-04 07:00:00,21.9,71,13.9,7.92,12.81,4.64257581,4.677482395,16.9,0.9235,Winter
2017-01-04 08:00:00,19.2,62,8.4,8.71,13.81,4.660029103,4.677482395,16.9,0.9248,Winter
2017-01-04 09:00:00,17.4,56,4.5,8.52,13.51,4.64257581,4.677482395,17.7,0.9262,Winter
2017-01-04 10:00:00,17.8,49,2.0,9.1,14.13,4.747295565,4.78220215,18.8,0.9276,Winter
2017-01-04 11:00:00,17.7,50,2.0,9.14,13.96,4.799655443,4.799655443,19.2,0.929,Winter
2017-01-04 12:00:00,17.7,48,1.5,9.1,13.81,4.729842273,4.747295565,18.7,0.9259,Winter
2017-01-04 13:00:00,17.1,47,0.2,9.0,13.9,4.71238898,4.71238898,18.6,0.9183,Winter
2017-01-04 14:00:00,16.1,46,-1.1,9.0,13.8,4.694935688,4.71238898,18.7,0.9107,Winter
2017-01-04 15:00:00,15.7,45,-2.0,8.8,13.7,4.694935688,4.71238898,18.2,0.9031,Winter
2017-01-04 16:00:00,14.8,49,-0.9,8.12,13.1,4.64257581,4.694935688,17.8,0.8955,Winter
2017-01-04 17:00:00,14.6,49,-1.0,8.2,13.42,4.729842273,4.764748858,17.0,0.8879,Winter
2017-01-04 18:00:00,14.1,52,-0.2,7.61,12.6,4.677482395,4.71238898,16.7,0.8775,Winter
2017-01-04 19:00:00,13.8,52,-0.6,7.5,12.4,4.677482395,4.71238898,16.9,0.8642,Winter
2017-01-04 20:00:00,13.0,55,-0.1,7.21,12.1,4.677482395,4.71238898,15.3,0.851,Winter
2017-01-04 21:00:00,12.6,55,-0.3,6.73,11.4,4.625122518,4.677482395,14.3,0.8378,Winter
2017-01-04 22:00:00,12.7,57,0.3,6.23,10.4,4.607669225,4.694935688,13.4,0.8246,Winter
2017-01-04 23:00:00,12.8,57,0.4,6.17,10.32,4.57276264,4.660029103,12.2,0.8114,Winter
2017-01-05 00:00:00,12.8,57,0.4,6.26,10.43,4.57276264,4.64257581,12.8,0.7982,Winter
2017-01-05 01:00:00,12.3,59,0.5,6.02,10.15,4.520402763,4.607669225,12.5,0.785,Winter
2017-01-05 02:00:00,11.5,59,0.0,5.67,9.63,4.555309348,4.625122518,12.0,0.7718,Winter
2017-01-05 03:00:00,11.3,58,-0.6,5.32,9.06,4.50294947,4.607669225,11.1,0.7586,Winter
2017-01-05 04:00:00,11.6,57,-0.8,5.29,8.96,4.450589593,4.520402763,10.6,0.7454,Winter
2017-01-05 05:00:00,11.6,57,-0.6,4.71,8.05,4.50294947,4.607669225,10.4,0.7322,Winter
2017-01-05 06:00:00,11.7,63,1.5,4.59,8.14,4.4331363,4.520402763,9.2,0.7191,Winter
2017-01-05 07:00:00,11.5,63,1.3,4.31,7.72,4.328416545,4.415683008,9.2,0.706,Winter
2017-01-05 08:00:00,12.1,61,1.3,3.92,7.28,4.380776423,4.4331363,8.7,0.693,Winter
2017-01-05 09:00:00,12.8,54,-0.6,5.46,8.67,4.57276264,4.590215933,11.3,0.6799,Winter
2017-01-05 10:00:00,13.3,53,-0.7,5.77,8.88,4.555309348,4.57276264,12.1,0.6668,Winter
2017-01-05 11:00:00,13.4,51,-1.3,5.61,8.63,4.520402763,4.537856055,12.2,0.6537,Winter
2017-01-05 12:00:00,13.4,50,-1.6,5.87,8.9,4.555309348,4.57276264,12.4,0.6569,Winter
2017-01-05 13:00:00,13.0,50,-2.1,5.85,9.07,4.57276264,4.590215933,12.4,0.6762,Winter
2017-01-05 14:00:00,13.1,48,-3.0,5.63,8.74,4.607669225,4.625122518,12.4,0.6956,Winter
2017-01-05 15:00:00,12.3,49,-3.5,5.45,8.76,4.590215933,4.590215933,11.8,0.715,Winter
2017-01-05 16:00:00,11.4,52,-2.7,4.41,7.71,4.485496178,4.537856055,11.2,0.7344,Winter
2017-01-05 17:00:00,10.3,55,-2.6,3.86,7.32,4.345869837,4.468042885,9.0,0.7537,Winter
2017-01-05 18:00:00,7.8,63,-2.1,4.43,8.13,4.22369679,4.345869837,7.9,0.7421,Winter
2017-01-05 19:00:00,6.4,65,-3.0,4.25,8.38,4.241150082,4.36332313,8.6,0.6993,Winter
2017-01-05 20:00:00,5.6,65,-3.5,4.16,8.13,4.29350996,4.4331363,8.3,0.6566,Winter
2017-01-05 21:00:00,4.7,67,-3.9,4.02,8.22,4.241150082,4.398229715,8.2,0.6139,Winter
2017-01-05 22:00:00,4.0,68,-4.2,3.61,7.67,4.380776423,4.50294947,7.9,0.5712,Winter
2017-01-05 23:00:00,2.7,71,-4.6,3.09,7.32,4.276056667,4.468042885,7.1,0.5284,Winter
2017-01-06 00:00:00,1.8,71,-5.3,3.13,7.62,4.241150082,4.415683008,6.0,0.4857,Winter
2017-01-06 01:00:00,1.3,72,-5.7,3.1,7.69,4.345869837,4.485496178,6.1,0.443,Winter
2017-01-06 02:00:00,0.7,71,-6.4,2.92,7.57,4.328416545,4.50294947,5.9,0.4003,Winter
2017-01-06 03:00:00,0.6,71,-6.6,3.01,7.71,4.345869837,4.485496178,5.7,0.3575,Winter
2017-01-06 04:00:00,0.4,71,-6.7,3.05,7.69,4.310963252,4.485496178,5.8,0.3148,Winter
2017-01-06 05:00:00,0.0,72,-7.0,2.91,7.57,4.241150082,4.450589593,5.7,0.2969,Winter
2017-01-06 06:00:00,0.9,73,-5.7,3.38,7.58,4.118977035,4.310963252,5.7,0.3038,Winter
2017-01-06 07:00:00,0.2,76,-5.7,3.22,7.78,4.258603375,4.398229715,6.0,0.3107,Winter
2017-01-06 08:00:00,1.6,76,-4.2,3.26,7.41,4.398229715,4.537856055,6.1,0.3177,Winter
2017-01-06 09:00:00,5.9,67,-2.6,3.58,6.39,4.310963252,4.415683008,7.3,0.3246,Winter
2017-01-06 10:00:00,8.9,59,-2.3,4.61,6.87,4.485496178,4.485496178,9.4,0.3315,Winter
2017-01-06 11:00:00,10.5,53,-3.3,4.34,6.36,4.57276264,4.57276264,9.8,0.3384,Winter
2017-01-06 12:00:00,11.4,50,-3.8,4.3,6.31,4.694935688,4.660029103,9.5,0.3349,Winter
2017-01-06 13:00:00,12.1,49,-3.6,4.2,6.31,4.660029103,4.64257581,9.6,0.3211,Winter
2017-01-06 14:00:00,12.3,48,-3.5,4.0,6.3,4.694935688,4.677482395,9.3,0.3072,Winter
2017-01-06 15:00:00,11.8,50,-3.1,3.41,5.9,4.660029103,4.677482395,8.8,0.2934,Winter
2017-01-06 16:00:00,9.1,60,-1.9,1.97,5.24,4.29350996,4.485496178,7.1,0.2795,Winter
2017-01-06 17:00:00,5.7,65,-3.5,2.26,6.26,3.926990817,4.206243497,3.9,0.2657,Winter
2017-01-06 18:00:00,5.2,67,-3.4,2.84,7.11,4.031710572,4.22369679,4.0,0.2634,Winter
2017-01-06 19:00:00,6.9,59,-4.3,3.68,6.95,3.961897402,4.188790205,5.9,0.2727,Winter
2017-01-06 20:00:00,7.0,57,-5.1,3.72,7.16,4.08407045,4.241150082,6.1,0.282,Winter
2017-01-06 21:00:00,7.2,55,-5.6,3.68,7.11,4.328416545,4.468042885,6.0,0.2913,Winter
2017-01-06 22:00:00,7.0,55,-5.7,3.68,6.96,4.328416545,4.50294947,5.9,0.3006,Winter
2017-01-06 23:00:00,6.6,58,-5.0,4.07,7.62,4.276056667,4.415683008,6.7,0.3098,Winter
2017-01-07 00:00:00,6.3,63,-3.8,3.98,7.47,4.398229715,4.50294947,6.9,0.3191,Winter
2017-01-07 01:00:00,5.8,66,-3.2,3.83,7.32,4.450589593,4.537856055,6.7,0.3284,Winter
2017-01-07 02:00:00,5.2,68,-3.0,3.67,6.87,4.520402763,4.57276264,6.6,0.3377,Winter
2017-01-07 03:00:00,5.0,69,-2.9,3.32,6.4,4.4331363,4.537856055,6.1,0.347,Winter
2017-01-07 04:00:00,4.8,71,-2.4,3.2,6.15,4.468042885,4.590215933,5.5,0.3563,Winter
2017-01-07 05:00:00,4.6,75,-1.7,3.2,6.08,4.36332313,4.555309348,5.2,0.3896,Winter
2017-01-07 06:00:00,3.3,81,-1.3,3.04,6.99,4.241150082,4.415683008,5.2,0.4468,Winter
2017-01-07 07:00:00,3.7,82,-0.6,3.74,7.04,4.118977035,4.310963252,6.2,0.504,Winter
2017-01-07 08:00:00,5.5,78,0.1,3.7,6.89,4.049163865,4.22369679,6.8,0.5612,Winter
2017-01-07 09:00:00,9.5,66,0.3,4.17,6.22,4.188790205,4.22369679,8.4,0.6185,Winter
2017-01-07 10:00:00,11.9,50,-3.2,4.71,6.73,4.50294947,4.520402763,10.2,0.6757,Winter
2017-01-07 11:00:00,12.5,45,-4.8,5.15,7.37,4.57276264,4.57276264,11.0,0.7329,Winter
2017-01-07 12:00:00,13.2,43,-5.1,5.46,7.99,4.57276264,4.555309348,11.8,0.7461,Winter
